siret,enseigne1Etablissement,codePostalEtablissement
31865231000091,LE PETIT SUD,29760
31866075000023,FOURNIL DE FONTREYNE  FDF,05000
31867553500062,CHEZ FIFINE,83340
31869311600069,L'ETNA 2,74370
31872510800035,PIZZAS DU ROND POINT,26130
31872510800043,AU FOUR BANAL,84000
31872510800050,AU FOUR BANAL,84000
31872832600089,PIZZA PI-YOU PI-YOU,85560
31873388800222,BROCHE D'OR,34280
31877384300046,LE CABANON,07220
31886049100055,SALON DE THE DE L AULOUE,32410
31886645600011,L'AMUSE GUEULE,71190
31887791700019,LE RESTO DU JUBILE,97480
31888488900037,LE CHALET DES PIZZAS,66210
31888488900045,LE CHALET DES PIZZAS,66800
31890456200051,LAOS THAI,76600
31890659100074,LA BRIOCHE DOREE LE FOURNIL DE PIERRE,35000
31890659100199,LA BRIOCHE DOREE-LE FOURNIL DE PIERRE,21000
31890659100207,BRIOCHE DOREE,21000
31890659100231,LA BRIOCHE DOREE,42390
31890659100264,BRIOCHE DOREE,38130
31890659100272,BRIOCHE DOREE,38000
31890659100389,LA BRIOCHE DOREE,83000
31890659100421,BRIOCHE DOREE,54000
31890659100454,BRIOCHE DOREE,91000
31890659100462,LE FOURNIL DE PIERRE,91940
31890659100488,LA BRIOCHE DOREE-LE FOURNIL DE PIERRE,91000
31890659100637,LA BRIOCHE DOREE - LE FOURNIL DE PIERRE,31500
31890659100645,LA BRIOCHE DOREE - LE FOURNIL DE PIERRE,31000
31890659100652,LA BRIOCHE DOREE,31670
31890659100660,LA BRIOCHE DOREE,31670
31890659100678,LA BRIOCHE DOREE CAFE,31670
31890659100686,LA BRIOCHE DOREE - LE FOURNIL DE PIERRE,31000
31890659100694,LA BRIOCHE DOREE - LE FOURNIL DE PIERRE,31700
31890659100702,LA BRIOCHE DOREE - LE FOURNIL DE PIERRE,31120
31890659100728,LA BRIOCHE DOREE,31000
31890659100736,LE FOURNIL DE PIERRE,75013
31890659100751,LE FOURNIL DE PIERRE,75015
31890659100819,LE FOURNIL DE PIERRE,62231
31890659100843,LA BRIOCHE DOREE-LE FOURNIL DE PIERRE,06200
31890659100850,LA BRIOCHE DOREE-LE FOURNIL DE PIERRE,06300
31890659100900,LA BRIOCHE DOREE,69002
31890659100918,LE FOURNIL DE PIERRE,06000
31890659100926,LA BRIOCHE DOREE,69002
31890659100934,LA BRIOCHE DOREE,69003
31890659100942,LA BRIOCHE DOREE,69003
31890659100959,LA BRIOCHE DOREE,69003
31890659100967,LA BRIOCHE DOREE,69003
31890659100983,LE FOURNIL DE PIERRE,94120
31890659100991,LA BRIOCHE DOREE,69002
31890659101007,BRIOCHE DOREE,59800
31890659101031,LA BRIOCHE DOREE,69300
31890659101056,BIROCHE DORE (LA GRANDE),94000
31890659101072,BAR CENTRAL,94000
31890659101148,LE FOURNIL DE PIERRE,77340
31890659101189,LA BRIOCHE DOREE,72000
31890659101197,LA BRIOCHE DOREE,72700
31890659101247,BRIOCHE DOREE,33000
31890659101254,BRIOCHE DOREE,33160
31890659101270,BRIOCHE DOREE,33560
31890659101296,BRIOCHE DOREE,33000
31890659101304,BRIOCHE DOREE,33000
31890659101379,LE FOURNIL DE PIERRE,78100
31890659101486,BRIOCHE DOREE,44800
31890659101502,BRIOCHE DOREE,44000
31890659101510,LE FOURNIL DE PIERRE,44200
31890659101627,LA BRIOCHE DOREE,34970
31890659101635,LA BRIOCHE DOREE,34000
31890659101650,LA BRIOCHEE DOREE,34000
31890659101676,LE FOURNIL DE PIERRE,77410
31890659101718,BRIOCHE DOREE,93600
31890659101734,BRIOCHE DOREE,93110
31890659101742,BRIOCHE DOREE,93600
31890659101759,BRIOCHE DOREE,93110
31890659101783,LA BRIOCHE DOREE CAFE,77700
31890659101791,LA BRIOCHE DOREE CAFE,77700
31890659101833,LA BRIOCHE DOREE CAFE,92800
31890659101858,LA BRIOCHE DOREE,30000
31890659101866,LA BRIOCHE DOREE LE FOURNIL DE PIERRE,31120
31890659101874,LA BRIOCHE DOREE - LE FOURNIL DE PIERRE,35000
31890659101908,LA BRIOCHE DOREE,75015
31890659101916,LA BRIOCHE DOREE CAFE,33000
31890659101924,LA BRIOCHE DOREE,68000
31890659101932,BRIOCHE DOREE,74100
31890659101940,LA BRIOCHE DOREE,62950
31890659101957,LA BRIOCHE DOREE,14200
31890659101999,LA BRIOCHE DOREE,35000
31890659102013,LA BRIOCHE DOREE,62231
31890659102021,LA BRIOCHE DOREE,78150
31890659102039,LA BRIOCHE DOREE,64230
31890659102047,CAFETTI,74000
31890659102062,LA BRIOCHE DOREE CAFE,59777
31890659102088,LA BRIOCHE DOREE,69200
31890659102096,LA BRIOCHE DOREE,75008
31890659102104,LA BRIOCHE DOREE,60000
31890659102120,LA BRIOCHE DOREE   LA BRIOCHE DOREE,03200
31890659102146,LA BRIOCHE DOREE,16000
31890659102153,LE FOURNIL DE PIERRE,35000
31890659102179,LA BRIOCHE DOREE,28000
31890659102187,LA BRIOCHE DOREE,92130
31890659102195,CAFFE DEL ARTE,77190
31890659102203,LA BRIOCHE DOREE,91940
31890659102211,LA BRIOCHE DOREE,77700
31890659102229,LE FOURNIL DE PIERRE,75013
31890659102237,BRIOCHE DOREE,45000
31890659102245,BRIOCHE DOREE,45000
31890659102260,BRIOCHE DOREE,38130
31890659102278,LA BRIOCHE DOREE,31650
31890659102286,BRIOCHE DOREE,68100
31890659102310,LA BRIOCHE DOREE,75008
31890659102328,LA BRIOCHE DOREE,31120
